"filename", "language", "HTML", "JavaScript", "Java", "MS SQL", "JSON", "Markdown", "Java Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\DigitalIDCardDTO.class", "Java", 0, 0, -4, 0, 0, 0, 0, -2, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\VerificationResponseDTO.class", "Java", 0, 0, -7, 0, 0, 0, 0, 0, 0, -7
"f:\Coding\studentmanagement\target\classes\com\sms\dto\student\StudentProfileDTO.class", "Java", 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\model\Attendance.class", "Java", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\model\CampusLocation.class", "Java", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\model\ClassSession.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\Course.class", "Java", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\model\Enrollment.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\LoginUser.class", "Java", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\com\sms\model\Person.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\Role.class", "Java", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\model\SecurityAudit.class", "Java", 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"f:\Coding\studentmanagement\target\classes\com\sms\model\Student.class", "Java", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\model\StudentTask.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\TaskItem.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\TaskStatus.class", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\model\Teacher.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\User.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\UserRole.class", "Java", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\repository\AttendanceRepository.class", "Java", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\repository\CampusLocationRepository.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\repository\EnrollmentRepository.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\repository\SecurityAuditRepository.class", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\repository\TaskItemRepository.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService$ImpossibleMovementResult.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService$LocationTimestamp.class", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService$VPNDetectionResult.class", "Java", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService.class", "Java", 0, 0, 100, 0, 0, 0, 0, 0, 0, 100
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceQRTokenService$AttendanceTokenClaims.class", "Java", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceQRTokenService.class", "Java", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService$ManualAttendanceRecord.class", "Java", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService.class", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\service\AuthenticationService.class", "Java", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\service\CustomUserDetailsService.class", "Java", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\service\FileService.class", "Java", 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\service\GeolocationService.class", "Java", 0, 0, 52, 0, 0, 0, 0, 0, 0, 52
"f:\Coding\studentmanagement\target\classes\com\sms\service\QRService$IDTokenClaims.class", "Java", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\com\sms\service\QRService.class", "Java", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentService.class", "Java", 0, 0, -11, 0, 0, 0, 0, 0, 0, -11
"f:\Coding\studentmanagement\target\classes\com\sms\util\GradeUtil.class", "Java", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\util\InputValidator.class", "Java", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\util\LoggerUtil.class", "Java", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\util\StudentComparators.class", "Java", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\data.sql", "MS SQL", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\public\manifest.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"f:\Coding\studentmanagement\target\classes\public\service-worker.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 14, 12, 141
"f:\Coding\studentmanagement\target\classes\templates\attendance-scanner.html", "HTML", 136, 0, 0, 0, 0, 0, 0, 0, 18, 154
"f:\Coding\studentmanagement\target\classes\templates\teacher-dashboard.html", "HTML", 157, 0, 0, 0, 0, 0, 0, 0, 25, 182
"f:\Coding\studentmanagement\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"f:\Coding\studentmanagement\target\test-classes\com\sms\controller\DashboardControllerTest.class", "Java", 0, 0, -40, 0, 0, 0, 0, 0, 0, -40
"f:\Coding\studentmanagement\target\test-classes\com\sms\service\DashboardServiceTest.class", "Java", 0, 0, -27, 0, 0, 0, 0, 0, 0, -27
"Total", "-", 586, 230, 728, 8, 110, 456, 5, 156, 376, 2655
