"filename", "language", "Java", "XML", "Docker", "pip requirements", "Markdown", "Python", "PowerShell", "Java Properties", "Batch", "Properties", "MS SQL", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminStudentProfileApiController.java", "Java", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminStudentProfilePageController.java", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AnalyticsApiController.java", "Java", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 97
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AnalyticsController.java", "Java", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiAuthController.java", "Java", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiExceptionHandler.java", "Java", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 87
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AttendanceViewController.java", "Java", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 43
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AuthController.java", "Java", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\CampusLocationWebSocketController.java", "Java", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\CampusTrackingController.java", "Java", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java", "Java", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DietPlannerController.java", "Java", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 78
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DigitalIDApi.java", "Java", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 207
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\PortalController.java", "Java", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 35
